System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-1341b,KTEP,280.51175,44.15933,15.37,12.64,0.3098,0.13,2455091.39610,0.00500,132.995550,0.0008734,4662,43,46,0.19,0.11,0.19,0.790,0.020,0.060,0.720,0.020,0.020,4.620,0.010,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.224,0.019,0.019,-1,-1,-1,-1,-1,-1,241,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1342b,KTEP,297.02004,43.43253,15.61,13.53,0.0759,0.03,2454964.82107,0.00300,2.2157130,0.0000076,5527,129,179,0.03,0.14,0.16,0.930,0.050,0.190,0.900,0.110,0.060,4.510,0.050,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.032,0.022,-1,-1,-1,-1,-1,-1,1283,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1343b,KTEP,294.29450,50.72536,15.67,13.99,0.0827,0.03,2454964.64441,0.00300,3.3518404,0.0000116,5759,107,76,-0.16,0.19,0.21,0.950,0.060,0.050,0.930,0.110,0.080,4.480,0.060,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.168,0.054,0.017,-1,-1,-1,-1,-1,-1,1294,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1344b,KTEP,287.08629,46.94581,14.20,12.63,0.1348,0.03,2454967.86116,0.00400,4.7683103,0.0000191,5981,79,91,0.06,0.14,0.16,1.090,0.090,0.030,1.130,0.310,0.120,4.370,0.080,0.180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.159,0.054,0.023,-1,-1,-1,-1,-1,-1,1219,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1345b,KTEP,292.47796,46.02281,13.87,12.56,0.3263,0.02,2454997.45238,0.00600,44.6167510,0.0003014,6449,123,141,0.04,0.13,0.17,1.320,0.220,0.060,1.550,0.690,0.300,4.180,0.150,0.250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.206,0.062,0.041,-1,-1,-1,-1,-1,-1,693,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1346b,KTEP,291.84129,45.17917,14.63,13.11,0.0817,0.02,2454965.06195,0.00300,3.4016562,0.0000112,6133,118,161,0.04,0.13,0.15,1.140,0.150,0.070,1.210,0.430,0.160,4.330,0.100,0.210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.037,0.012,-1,-1,-1,-1,-1,-1,1236,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1347b,KTEP,299.65958,40.84383,13.61,11.49,0.1416,0.02,2454965.96947,0.00400,14.0094863,0.0000668,5193,74,56,-0.11,0.10,0.11,0.820,0.040,0.040,0.790,0.030,0.030,4.570,0.030,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.087,0.005,0.004,-1,-1,-1,-1,-1,-1,617,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1348b,KTEP,292.08746,49.78875,14.85,13.24,0.2190,0.03,2454978.39543,0.00700,27.5722144,0.0002237,5911,102,102,-0.01,0.15,0.19,1.040,0.070,0.050,1.040,0.230,0.100,4.420,0.070,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173,0.028,0.015,-1,-1,-1,-1,-1,-1,636,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1349b,KTEP,286.33833,48.74408,11.24,9.76,0.1311,0.01,2454965.48055,0.00400,2.1282162,0.0000111,6086,98,195,0.03,0.16,0.23,1.160,0.110,0.050,1.280,1.150,0.190,4.290,0.130,0.430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.062,0.002,0.003,-1,-1,-1,-1,-1,-1,1668,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1350b,KTEP,288.25054,46.67961,16.95,13.12,0.0721,0.19,2454967.20642,0.00300,4.4968607,0.0000129,3827,45,60,-0.06,0.12,0.16,0.550,0.030,0.030,0.530,0.030,0.050,4.740,0.040,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172,0.017,0.021,-1,-1,-1,-1,-1,-1,535,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1350c,KTEP,288.25054,46.67961,16.95,13.12,0.0556,0.10,2454966.08336,0.00400,1.7667895,0.0000068,3827,45,60,-0.06,0.12,0.16,0.550,0.030,0.060,0.530,0.030,0.050,4.740,0.040,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125,0.012,0.015,-1,-1,-1,-1,-1,-1,730,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1351b,KTEP,293.60871,42.19767,14.51,11.47,0.0481,0.01,2454965.02221,0.00200,0.9161423,0.0000018,4439,83,78,-0.03,0.16,0.16,0.700,0.030,0.050,0.670,0.030,0.040,4.640,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.054,0.004,0.004,-1,-1,-1,-1,-1,-1,1212,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1352b,KTEP,290.69371,48.70147,13.39,11.92,0.0996,0.01,2454965.26131,0.00300,1.8778785,0.0000074,6118,107,116,-0.00,0.14,0.19,1.110,0.110,0.050,1.160,0.330,0.140,4.350,0.090,0.180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.070,0.015,0.009,-1,-1,-1,-1,-1,-1,1701,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1353b,KTEP,295.73533,42.57622,15.84,13.14,0.1413,0.06,2454973.20732,0.00400,24.7543849,0.0001365,4776,159,112,-0.06,0.16,0.17,0.760,0.040,0.090,0.720,0.040,0.040,4.610,0.030,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.187,0.012,0.018,-1,-1,-1,-1,-1,-1,491,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1354b,KTEP,291.24517,37.75906,14.50,12.86,0.4258,0.05,2454986.79301,0.00800,76.6139446,0.0006187,6168,137,202,0.03,0.13,0.16,1.160,0.160,0.110,1.240,0.490,0.190,4.310,0.110,0.230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.233,0.070,0.030,-1,-1,-1,-1,-1,-1,466,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1355b,KTEP,283.74142,49.06797,15.67,13.75,0.0564,0.03,2454964.89057,0.00300,1.2895902,0.0000038,5352,69,62,-0.04,0.14,0.15,0.880,0.040,0.070,0.830,0.060,0.050,4.550,0.030,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.123,0.025,0.011,-1,-1,-1,-1,-1,-1,1448,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1356b,KTEP,290.99533,43.24392,16.00,13.73,0.0384,0.03,2454964.89476,0.00200,0.6340030,0.0000012,5106,65,84,-0.02,0.14,0.16,0.820,0.040,0.050,0.780,0.040,0.040,4.580,0.030,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.018,0.010,-1,-1,-1,-1,-1,-1,1714,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1357b,KTEP,291.54808,50.35331,15.44,13.61,0.0928,0.02,2454964.62696,0.00400,3.0091249,0.0000146,5597,92,91,-0.06,0.15,0.20,0.930,0.050,0.060,0.900,0.130,0.070,4.500,0.050,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.109,0.014,0.004,-1,-1,-1,-1,-1,-1,1177,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1358b,KTEP,286.17050,43.00889,14.80,12.66,0.1005,0.02,2454965.52395,0.00600,7.0632193,0.0000476,5181,58,55,-0.08,0.15,0.18,0.820,0.040,0.060,0.790,0.040,0.050,4.570,0.030,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.108,0.017,0.014,-1,-1,-1,-1,-1,-1,827,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1359b,KTEP,289.53879,41.89281,16.10,13.43,0.2252,0.13,2454979.95193,0.00700,59.4969009,0.0004885,4709,46,56,0.11,0.13,0.18,0.780,0.030,0.040,0.720,0.020,0.020,4.620,0.010,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.261,0.021,0.027,-1,-1,-1,-1,-1,-1,369,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1361b,KTEP,283.56529,46.90425,14.16,11.98,0.0985,0.01,2454965.86125,0.00400,3.5755143,0.0000208,5131,55,58,-0.00,0.15,0.15,0.830,0.040,0.060,0.790,0.040,0.040,4.570,0.030,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.079,0.019,0.012,-1,-1,-1,-1,-1,-1,1061,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1362b,KTEP,288.53854,40.87711,16.16,13.63,0.2320,0.12,2455067.72601,0.00800,136.205112,0.0010000,4857,51,73,0.06,0.15,0.15,0.800,0.030,0.110,0.740,0.030,0.030,4.600,0.010,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.210,0.020,0.015,-1,-1,-1,-1,-1,-1,248,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1363b,KTEP,296.99654,49.25642,15.60,12.96,0.0857,0.03,2454966.10440,0.00400,2.9419430,0.0000132,4839,103,110,-0.09,0.16,0.17,0.760,0.040,0.040,0.720,0.030,0.040,4.610,0.030,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.109,0.009,0.011,-1,-1,-1,-1,-1,-1,988,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1364b,KTEP,295.15217,49.58758,13.26,12.14,0.2589,0.01,2454975.72350,0.00500,13.3219146,0.0000841,6805,136,160,0.04,0.13,0.15,1.490,0.210,0.130,1.790,0.620,0.310,4.100,0.130,0.200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.257,0.052,0.072,-1,-1,-1,-1,-1,-1,1299,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1365b,KTEP,292.19971,42.04608,13.57,11.86,0.1847,0.01,2454967.39282,0.00600,7.6999447,0.0000492,5770,86,88,0.03,0.09,0.10,1.000,0.040,0.110,1.050,0.160,0.100,4.390,0.080,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.082,0.012,0.012,-1,-1,-1,-1,-1,-1,969,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1365c,KTEP,292.19971,42.04608,13.57,11.86,0.1585,0.01,2454968.16338,0.00700,4.7746604,0.0000420,5770,86,88,0.03,0.09,0.10,1.000,0.040,0.060,1.050,0.160,0.100,4.390,0.080,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.072,0.011,0.011,-1,-1,-1,-1,-1,-1,1137,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1366b,KTEP,285.06488,41.55486,16.46,12.96,0.0536,0.05,2454964.83142,0.00300,2.1645706,0.0000064,4070,63,54,-0.02,0.16,0.16,0.620,0.030,0.060,0.600,0.030,0.040,4.680,0.030,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.113,0.006,0.005,-1,-1,-1,-1,-1,-1,783,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1367b,KTEP,288.41650,47.87872,16.12,12.70,0.0658,0.02,2454964.86116,0.00300,1.5740903,0.0000055,4106,56,57,-0.06,0.17,0.20,0.620,0.030,0.070,0.600,0.030,0.050,4.680,0.030,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.083,0.005,0.002,-1,-1,-1,-1,-1,-1,998,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1368b,KTEP,294.76696,41.64467,16.08,14.39,0.0761,0.02,2454964.68114,0.00300,0.6756504,0.0000024,5906,121,160,0.10,0.15,0.14,1.070,0.080,0.060,1.080,0.220,0.110,4.400,0.070,0.150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.121,0.039,0.013,-1,-1,-1,-1,-1,-1,2085,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1369b,KTEP,285.79721,40.93617,15.50,13.79,0.2119,0.07,2454976.28644,0.00600,25.8730914,0.0001464,5761,133,110,-0.00,0.14,0.16,0.990,0.060,0.040,0.990,0.150,0.080,4.450,0.060,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.257,0.081,0.035,-1,-1,-1,-1,-1,-1,667,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1370b,KTEP,284.56567,41.77847,13.81,12.35,0.1943,0.02,2454968.27919,0.00600,20.2642023,0.0001305,6202,115,131,0.05,0.14,0.14,1.190,0.160,0.060,1.290,0.460,0.180,4.290,0.110,0.210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.189,0.031,0.030,-1,-1,-1,-1,-1,-1,770,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1370c,KTEP,284.56567,41.77847,13.81,12.35,0.1898,0.01,2454970.74695,0.00700,7.4413610,0.0000669,6202,115,131,0.05,0.14,0.14,1.190,0.160,0.040,1.290,0.460,0.180,4.290,0.110,0.210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.119,0.019,0.020,-1,-1,-1,-1,-1,-1,1075,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1371b,KTEP,288.83133,47.55197,14.05,12.05,0.0875,0.01,2454965.22894,0.00400,3.4462125,0.0000187,5361,71,74,-0.07,0.16,0.16,0.870,0.040,0.030,0.830,0.070,0.060,4.550,0.040,0.080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.062,0.007,0.006,-1,-1,-1,-1,-1,-1,1015,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1371c,KTEP,288.83133,47.55197,14.05,12.05,0.0806,0.01,2454966.24526,0.00400,2.0054143,0.0000099,5361,71,74,-0.07,0.16,0.16,0.870,0.040,0.140,0.830,0.070,0.060,4.550,0.040,0.080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058,0.006,0.006,-1,-1,-1,-1,-1,-1,1216,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1372b,KTEP,288.88662,44.83953,15.53,13.72,0.0800,0.01,2454964.53283,0.00400,1.3115589,0.0000058,5677,76,103,0.05,0.13,0.16,0.980,0.050,0.050,0.970,0.260,0.080,4.460,0.070,0.200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103,0.031,0.011,-1,-1,-1,-1,-1,-1,1655,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1373b,KTEP,285.75204,39.24919,14.23,12.79,0.0773,0.01,2454964.99105,0.00400,1.2912331,0.0000057,6299,170,171,0.03,0.12,0.17,1.220,0.200,0.150,1.330,0.620,0.200,4.270,0.120,0.260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.079,0.023,0.010,-1,-1,-1,-1,-1,-1,1887,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1374b,KTEP,291.34996,45.17225,16.16,14.13,0.1118,0.07,2454969.08994,0.00500,10.6527505,0.0000645,5323,108,85,-0.13,0.16,0.18,0.850,0.050,0.030,0.810,0.060,0.060,4.560,0.040,0.080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.196,0.044,0.017,-1,-1,-1,-1,-1,-1,737,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1375b,KTEP,296.29354,43.40325,13.87,12.36,0.1859,0.01,2454966.56723,0.00600,3.3004082,0.0000221,6704,142,208,0.09,0.14,0.14,1.470,0.220,0.040,1.780,0.690,0.340,4.110,0.140,0.220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.023,0.017,-1,-1,-1,-1,-1,-1,1543,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1376b,KTEP,286.95842,42.54136,14.85,13.07,0.1258,0.01,2454967.25061,0.00600,5.3087398,0.0000455,5659,64,77,0.07,0.15,0.15,0.980,0.040,0.060,0.970,0.180,0.070,4.460,0.060,0.150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.096,0.029,0.011,-1,-1,-1,-1,-1,-1,1042,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1377b,KTEP,289.19546,46.65169,16.13,13.98,0.0423,0.02,2454964.91163,0.00200,0.7409264,0.0000018,5218,42,54,0.05,0.14,0.14,0.860,0.030,0.050,0.820,0.050,0.040,4.550,0.030,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.109,0.027,0.012,-1,-1,-1,-1,-1,-1,1873,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1378b,KTEP,297.37329,40.36639,16.34,13.33,0.1107,0.09,2454973.26226,0.00600,11.9540188,0.0000757,4407,93,65,0.03,0.10,0.07,0.700,0.020,0.080,0.670,0.020,0.020,4.630,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.187,0.012,0.018,-1,-1,-1,-1,-1,-1,525,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1379b,KTEP,293.67046,41.41025,16.17,13.80,0.0547,0.02,2454964.68869,0.00300,0.8818426,0.0000030,5188,79,114,-0.04,0.17,0.18,0.830,0.050,0.060,0.790,0.050,0.050,4.570,0.040,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111,0.019,0.009,-1,-1,-1,-1,-1,-1,1564,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1380b,KTEP,288.11604,42.44042,15.80,13.88,0.2340,0.02,2454974.51140,0.00700,10.3108232,0.0001066,5570,64,82,0.10,0.16,0.15,0.960,0.050,0.080,0.940,0.160,0.060,4.480,0.050,0.140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.113,0.032,0.012,-1,-1,-1,-1,-1,-1,786,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1381b,KTEP,287.53575,48.72778,15.67,14.02,0.1490,0.06,2454970.77326,0.00600,25.3841750,0.0001936,5747,84,73,-0.10,0.16,0.20,0.960,0.050,0.050,0.940,0.110,0.070,4.480,0.050,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.218,0.068,0.023,-1,-1,-1,-1,-1,-1,649,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1382b,KTEP,295.37738,39.04803,12.81,11.36,0.4108,0.01,2454974.25354,0.00500,16.3583482,0.0001031,6161,92,97,0.30,0.07,0.07,1.360,0.120,0.030,1.720,0.350,0.310,4.100,0.140,0.130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.199,0.037,0.046,-1,-1,-1,-1,-1,-1,959,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1383b,KTEP,297.94475,42.19186,13.86,12.32,0.2819,0.01,2454975.87690,0.01100,13.9093544,0.0001661,6370,286,260,0.03,0.13,0.17,1.260,0.240,0.040,1.440,0.640,0.290,4.230,0.150,0.250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.119,0.021,0.021,-1,-1,-1,-1,-1,-1,928,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1384b,KTEP,296.21517,39.52703,15.66,13.07,0.1557,0.05,2454978.57320,0.00600,15.3626052,0.0001032,4919,159,127,-0.06,0.17,0.17,0.780,0.040,0.060,0.740,0.040,0.040,4.600,0.030,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.161,0.018,0.019,-1,-1,-1,-1,-1,-1,608,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1385b,KTEP,282.63137,46.48111,13.00,11.36,0.1240,0.01,2454965.33651,0.00500,2.8887858,0.0000176,5732,65,58,0.41,0.04,0.04,1.150,0.100,0.180,1.290,0.300,0.200,4.270,0.130,0.140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.075,0.014,0.012,-1,-1,-1,-1,-1,-1,1423,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1386b,KTEP,280.82337,42.63603,14.61,12.87,0.1743,0.01,2454965.29296,0.00800,6.7396829,0.0000640,5733,71,88,0.11,0.16,0.14,1.020,0.060,0.050,1.030,0.310,0.100,4.410,0.090,0.210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.132,0.021,0.023,-1,-1,-1,-1,-1,-1,1011,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1387b,KTEP,292.44038,43.20942,14.86,12.51,0.0675,0.01,2454966.35760,0.00300,2.2795234,0.0000085,5046,68,89,0.02,0.14,0.16,0.820,0.040,0.040,0.770,0.040,0.030,4.580,0.020,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.078,0.008,0.008,-1,-1,-1,-1,-1,-1,1123,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1388b,KTEP,283.33604,47.17453,16.84,13.34,0.1248,0.16,2454964.90073,0.00900,12.2854718,0.0000925,4098,48,52,0.02,0.11,0.11,0.630,0.020,0.170,0.610,0.020,0.030,4.670,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.197,0.012,0.009,-1,-1,-1,-1,-1,-1,434,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1388c,KTEP,283.33604,47.17453,16.84,13.34,0.0956,0.12,2454964.88286,0.00700,5.5360937,0.0000315,4098,48,52,0.02,0.11,0.11,0.630,0.020,0.040,0.610,0.020,0.030,4.670,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.196,0.012,0.009,-1,-1,-1,-1,-1,-1,566,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1388d,KTEP,283.33604,47.17453,16.84,13.34,0.1455,0.19,2454972.07664,0.01000,20.9569985,0.0001793,4098,48,52,0.02,0.11,0.11,0.630,0.020,0.050,0.610,0.020,0.030,4.670,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.212,0.013,0.010,-1,-1,-1,-1,-1,-1,363,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1388e,KTEP,283.33604,47.17453,16.84,13.34,0.1871,0.17,2454991.81560,0.02400,37.6333868,0.0007794,4098,48,52,0.02,0.11,0.11,0.630,0.020,0.160,0.610,0.020,0.030,4.670,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.201,0.012,0.009,-1,-1,-1,-1,-1,-1,299,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1389b,KTEP,285.71738,44.75842,14.94,12.70,0.3003,0.05,2454981.53067,0.00800,99.2532336,0.0009160,5078,47,47,-0.14,0.09,0.10,0.810,0.030,0.110,0.740,0.020,0.020,4.610,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194,0.013,0.007,-1,-1,-1,-1,-1,-1,300,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1390b,KTEP,298.66233,48.24875,14.58,12.76,0.1363,0.01,2454965.85980,0.00500,6.4802138,0.0000415,5753,142,169,-0.01,0.14,0.19,0.980,0.060,0.030,0.980,0.200,0.100,4.450,0.070,0.160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.112,0.014,0.011,-1,-1,-1,-1,-1,-1,934,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1391b,KTEP,294.83100,46.65958,13.99,12.37,0.3881,0.02,2455008.40307,0.00700,54.4099612,0.0005548,5840,90,78,0.04,0.09,0.09,1.030,0.050,0.050,1.100,0.170,0.110,4.360,0.090,0.110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.139,0.021,0.021,-1,-1,-1,-1,-1,-1,513,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1392b,KTEP,288.76696,46.39442,15.84,13.94,0.1816,0.05,2454976.74584,0.00600,15.1408916,0.0001144,5479,81,81,-0.11,0.16,0.18,0.880,0.050,0.070,0.850,0.090,0.070,4.530,0.050,0.100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172,0.054,0.017,-1,-1,-1,-1,-1,-1,714,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1393b,KTEP,284.45946,40.14256,13.49,11.82,0.0772,0.01,2454965.80194,0.00500,2.4435854,0.0000145,5697,65,57,-0.09,0.11,0.12,0.950,0.040,0.060,0.920,0.050,0.040,4.500,0.030,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.060,0.006,0.004,-1,-1,-1,-1,-1,-1,1249,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1394b,KTEP,283.45317,45.08414,11.84,10.68,0.1940,0.01,2454968.27724,0.00800,3.9376679,0.0000344,6481,65,62,0.06,0.08,0.05,1.640,0.090,0.040,2.550,0.350,0.390,3.840,0.110,0.080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.121,0.014,0.033,-1,-1,-1,-1,-1,-1,1947,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1395b,KTEP,292.33754,47.66419,12.68,11.29,0.1218,0.01,2454966.50785,0.00800,3.7847507,0.0000400,6138,67,61,0.12,0.07,0.07,1.170,0.040,0.030,1.230,0.120,0.080,4.330,0.060,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.062,0.010,0.007,-1,-1,-1,-1,-1,-1,1311,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1396b,KTEP,294.33646,44.91828,14.68,13.17,0.2129,0.02,2454974.37607,0.00600,18.2206024,0.0001324,6195,182,190,0.04,0.13,0.15,1.180,0.170,0.080,1.270,0.460,0.180,4.300,0.100,0.220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.159,0.027,0.021,-1,-1,-1,-1,-1,-1,786,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1397b,KTEP,299.67583,47.07583,14.26,12.47,0.4448,0.02,2455006.45650,0.01100,47.4497134,0.0006945,6026,97,96,0.00,0.08,0.08,1.090,0.040,0.050,1.120,0.110,0.080,4.370,0.060,0.080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.144,0.025,0.016,-1,-1,-1,-1,-1,-1,551,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1398b,KTEP,294.86617,48.63897,13.82,12.36,0.1415,0.01,2454964.84558,0.00600,2.7881793,0.0000185,6126,115,125,0.01,0.14,0.17,1.130,0.120,0.030,1.180,0.370,0.140,4.340,0.090,0.190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.091,0.016,0.018,-1,-1,-1,-1,-1,-1,1510,-1,-1,-999,-999,-999,-999,-999,-999
