System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
K2-032b TEP 252.42608 -19.54283 12.31 9.82 0.1453 0.4 2456900.92676 0.00031 8.992 8e-05 5271 39 35 -0.06 0.03 0.03 0.83 0.02 0.02 0.86 0.02 0.02 4.49 0.03 0.03 1.3 0.13 0.1 0.03 0.032 0.021 0.0795 0.00066 0.00062 0.0472 0.0057 0.0053 0.473 0.017 0.017 -1.0 -1.0 -1 0.41 0.08 0.06 837.0 13.0 14.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-055 TEP 333.75192 -17.25069 13.55 10.47 0.1 0.4 2456983.4229 0.0004 2.849275 2.7e-05 4300 107 100 0.376 0.095 0.095 0.688 0.069 0.069 0.715 0.043 0.04 4.566 0.036 0.036 -1.0 -1.0 -1.0 0.124 0.054 0.055 0.0347 0.001 0.001 0.138 0.017 0.017 0.395 0.026 0.026 -1.0 -1.0 -1 2.1 0.5 0.5 900.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-093b TEP 126.61604 10.08039 8.93 7.72 0.211 0.04 2457152.283 0.002 15.57209 2e-05 6320 60 30 -0.1 0.07 0.07 1.16 0.04 0.04 1.273 0.015 0.015 4.294 0.006 0.006 0.563 0.006 0.006 0.07 0.06 0.06 0.1283 0.0015 0.0015 0.0217 0.0028 0.0028 0.2315 0.0032 0.0032 -1.0 -1.0 -1 1.64 0.21 0.21 959.0 9.0 5.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-098 TEP 126.48829 11.51114 12.17 10.87 0.21 0.11 2457662.95321 0.00076 10.1367349 9.3e-06 6120 80 80 -0.2 0.1 0.1 1.074 0.042 0.042 1.311 0.083 0.048 4.23 0.03 0.05 0.47 0.05 0.09 0.0 -1.0 -1.0 0.0943 0.0061 0.0052 0.101 0.025 0.025 0.38 0.03 0.02 -1.0 -1.0 -1 1.62 0.51 0.45 1102.0 26.0 20.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-106b TEP 13.07979 10.79469 12.1 10.34 0.0746 0.03 2456226.4368 0.0016 0.571302 1.6e-05 5508 70 70 -0.03 0.01 0.01 0.96 0.063 0.062 0.98 0.024 0.022 4.44 0.033 0.037 1.03 0.1 0.1 0.0 -1.0 -1.0 0.01332 0.00028 0.00029 0.0268 0.0032 0.0032 0.1526 0.0062 0.0051 28.5 4.1 4.0 7.1 1.2 1.1 2275.0 36.0 32.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-110 TEP 207.34954 -12.2845 11.91 9.61 0.134 0.13 2457275.32992 0.00061 13.86375 0.00026 5010 50 50 -0.34 0.03 0.03 0.738 0.018 0.018 0.713 0.02 0.02 4.6 0.03 0.03 -1.0 -1.0 -1.0 0.079 0.07 0.07 0.1021 0.0008 0.0008 0.0525 0.0101 0.0101 0.231 0.009 0.009 -1.0 -1.0 -1 3.9 0.9 0.9 640.0 20.0 20.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-131 TEP 182.75158 -9.76522 12.12 10.05 0.058 0.05 2457582.936 0.0011 0.3693038 9.1e-06 5200 100 100 -0.02 0.08 0.08 0.793 0.024 0.04 0.744 0.01 0.009 4.62 0.1 0.10 1.92 0.1 0.13 0.0 0.26 0.0 -1.0 -1.0 -1 0.0198 0.0044 0.0044 0.1473 0.0058 0.005 -1.0 -1.0 -1 5.8 2.0 2.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-136c TEP 67.41246 22.88272 11.2 8.37 0.1437 0.19 2458678.079 0.009 17.30723 0.0002 4500 125 75 0.05 0.1 0.1 0.742 0.039 0.038 0.677 0.027 0.027 4.66 0.02 0.02 2.4 0.31 0.31 0.0 0.16 0.0 0.1185 0.002 0.0021 0.0569 0.006 0.0057 0.268 0.012 0.012 -1.0 -1.0 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-138c TEP 348.94904 -10.84969 12.21 10.31 0.097 0.05 2457740.32182 0.00088 3.56004 0.00012 5350 80 80 0.14 0.1 0.1 0.93 0.02 0.02 0.86 0.03 0.02 4.54 0.02 0.04 1.46 0.1 0.19 0.0 0.192 0.0 0.04461 0.0003 0.00038 0.0198 0.0035 0.0038 0.205 0.011 0.008 -1.0 -1.0 -1 2.1 0.51 0.46 1140.0 21.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-138d TEP 348.94904 -10.84969 12.21 10.31 0.124 0.08 2457743.15989 0.00092 5.40479 0.00021 5350 80 80 0.14 0.1 0.1 0.93 0.02 0.02 0.86 0.03 0.02 4.54 0.02 0.04 1.46 0.1 0.19 0.0 0.144 0.0 0.05893 0.0004 0.00050 0.0249 0.0044 0.0041 0.213 0.009 0.007 -1.0 -1.0 -1 2.37 0.52 0.45 992.0 18.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
K2-138e TEP 348.94904 -10.84969 12.21 10.31 0.1276 0.12 2457740.64558 0.00083 8.26146 0.00022 5350 80 80 0.14 0.1 0.1 0.93 0.02 0.02 0.86 0.03 0.02 4.54 0.02 0.04 1.46 0.1 0.19 0.0 0.183 0.0 0.0782 0.00053 0.00066 0.0409 0.0063 0.0063 0.302 0.012 0.01 -1.0 -1.0 -1 1.35 0.27 0.24 861.0 16.0 13.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
