System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
TOI-270b TEP 68.4155 -51.95622 12.62 8.25 0.06 0.09 2458387.0921 0.0013 3.360161 9.5e-05 3506 70 70 -0.2 0.12 0.12 0.386 0.008 0.008 0.378 0.011 0.011 4.872 0.026 0.026 7.2 0.63 0.63 0.036 0.027 0.027 0.03199 0.00022 0.00022 0.005 0.0008 0.0008 0.1027 0.0045 0.0045 -1.0 -1.0 -1 4.3 0.9 0.9 581.0 15.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-270c TEP 68.4155 -51.95622 12.62 8.25 0.07 0.3 2458389.50248 0.00042 5.660183 5.3e-05 3506 70 70 -0.2 0.12 0.12 0.386 0.008 0.008 0.378 0.011 0.011 4.872 0.026 0.026 7.2 0.63 0.63 0.031 0.021 0.021 0.04529 0.00031 0.00031 0.0193 0.0012 0.0012 0.208 0.0064 0.0064 -1.0 -1.0 -1 2.02 0.23 0.23 488.0 12.0 12.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-270d TEP 68.4155 -51.95622 12.62 8.25 0.09 0.3 2458389.67744 0.001 11.38027 0.00028 3506 70 70 -0.2 0.12 0.12 0.386 0.008 0.008 0.378 0.011 0.011 4.872 0.026 0.026 7.2 0.63 0.63 0.034 0.024 0.024 0.07215 0.00049 0.00049 0.015 0.0014 0.0014 0.1789 0.006 0.006 -1.0 -1.0 -1 2.47 0.34 0.34 387.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-674 TEP 164.58654 -36.85811 14.94 9.47 0.042 1.3 2458544.52379 0.00045 1.977198 7e-06 3514 57 57 0.17 0.12 0.12 0.42 0.01 0.01 0.42 0.013 0.013 4.81 0.03 0.03 5.66 0.54 0.54 0.0 -1.0 -1.0 0.025 0.0008 0.0008 0.074 0.01 0.01 0.468 0.015 0.015 8.5 1.3 1.3 0.69 0.11 0.11 635.0 15.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-776b TEP 178.57663 -37.55272 11.54 7.88 0.101 0.1 2458571.4167 0.0017 8.24664 8e-05 3709 70 70 -0.2 0.12 0.12 0.544 0.028 0.028 0.538 0.024 0.024 4.727 0.025 0.025 4.0 0.53 0.64 0.0 -1.0 -1.0 0.0652 0.0011 0.0011 0.0147 0.0031 0.0031 0.163 0.01 0.01 13.6 3.4 3.1 3.2 1.0 0.8 513.0 12.0 12.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-776c TEP 178.57663 -37.55272 11.54 7.88 0.13 0.15 2458572.5997 0.0023 15.6653 0.0008 3709 70 70 -0.2 0.12 0.12 0.544 0.028 0.028 0.538 0.024 0.024 4.727 0.025 0.025 4.0 0.53 0.64 0.0 -1.0 -1.0 0.1 0.0017 0.0017 0.0192 0.0047 0.0047 0.184 0.012 0.012 14.2 4.0 3.5 2.9 0.9 0.8 415.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1075 TEP 309.97117 -65.44972 12.75 9.12 0.06 0.1 2458654.251 0.0045 0.6047328 3.2e-06 3875 75 75 -0.1 0.12 0.12 0.604 0.03 0.03 0.581 0.024 0.024 -1.0 -1.0 -1 2.6 0.7 1.2 0.0 -1.0 -1.0 0.01159 0.00023 0.00020 0.0313 0.0043 0.0041 0.1598 0.0103 0.0072 -1.0 -1.0 -1 7.0 1.5 1.4 1323.0 44.0 44.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1201 TEP 42.24696 -14.53747 12.66 8.65 0.062 0.25 2459169.23222 0.0005 2.4919863 3.1e-06 3476 51 51 0.05 0.16 0.16 0.512 0.02 0.02 0.508 0.016 0.016 4.8 0.04 0.04 3.88 0.41 0.35 0.0 -1.0 -1.0 0.0287 0.0012 0.0012 0.0198 0.0026 0.0028 0.215 0.008 0.008 10.5 1.8 1.6 1.85 0.36 0.32 703.0 15.0 14.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1231 TEP 156.74725 -52.46783 12.32 8.07 0.135 0.5 2458563.88838 0.00058 24.245586 6.5e-05 3562 101 101 0.05 0.08 0.08 0.485 0.024 0.024 0.476 0.015 0.014 4.767 0.033 0.035 4.47 0.48 0.45 0.087 0.12 0.061 0.1288 0.0021 0.0022 0.048 0.01 0.01 0.326 0.014 0.013 11.3 2.7 2.5 1.31 0.35 0.32 330.0 4.0 4.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1235 TEP 152.21587 69.27656 11.5 7.89 0.078 0.05 2458683.6155 0.0016 3.444717 4.1e-05 3997 51 51 0.33 0.16 0.16 0.63 0.024 0.024 0.619 0.019 0.019 4.64 0.04 0.04 2.65 0.22 0.22 0.0 -1.0 -1.0 0.03826 0.00048 0.00049 0.0186 0.0019 0.0019 0.1511 0.0071 0.0069 20.1 3.0 2.7 5.1 1.0 0.8 775.0 13.0 13.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1468b TEP 16.65387 19.22489 12.5 8.5 0.045 0.1 2458765.68079 0.0007 1.8805136 2.5e-06 3496 25 25 -0.04 0.07 0.07 0.339 0.011 0.011 0.344 0.005 0.005 5.0 0.11 0.11 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.0101 0.0008 0.0008 0.1142 0.0034 0.0035 19.1 1.9 1.8 -1.0 -1.0 -1.0 682.0 7.0 7.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1468c TEP 16.65387 19.22489 12.5 8.5 0.062 0.3 2458766.9269 0.0012 15.532482 3.4e-05 3496 25 25 -0.04 0.07 0.07 0.339 0.011 0.011 0.344 0.005 0.005 5.0 0.11 0.11 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.0209 0.0021 0.0021 0.1841 0.004 0.004 15.3 1.7 1.6 -1.0 -1.0 -1.0 338.0 4.0 3.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1634 TEP 56.39017 37.11222 13.22 8.6 0.04 0.1 2458791.5144 0.0012 0.9893457 3.4e-06 3472 48 48 0.191 0.085 0.085 0.452 0.014 0.014 0.451 0.015 0.051 4.833 0.028 0.028 4.93 0.43 0.48 0.0 -1.0 -1.0 0.01491 0.0015 0.0015 0.0313 0.003 0.003 0.1582 0.0069 0.0069 -1.0 -1.0 -1 7.4 1.3 1.1 921.0 21.0 21.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1685 TEP 68.59396 43.03703 13.38 8.76 0.04 0.1 2458816.22615 0.0006 0.6691403 2.2e-06 3434 51 51 -0.13 0.16 0.16 0.495 0.019 0.019 0.492 0.015 0.051 4.85 0.04 0.04 4.108 0.043 0.045 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.0119 0.002 0.002 0.152 0.006 0.006 12.8 2.5 2.3 3.17 0.69 0.64 1069.0 16.0 16.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TOI-1728 TEP 120.61062 64.79692 12.4 8.8 0.0817 0.6 2458843.27427 0.00043 3.49151 6.2e-05 3975 77 77 0.09 0.13 0.13 0.646 0.032 0.022 0.624 0.01 0.01 4.657 0.017 0.017 2.68 0.13 0.13 0.057 0.054 0.039 0.0391 0.0009 0.0009 0.084 0.017 0.016 0.451 0.014 0.015 10.37 0.29 0.30 0.86 0.2 0.18 767.0 8.0 8.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TRAPPIST-1b TEP 346.622 -5.04125 18.8 10.3 0.02513 0.7 2457257.55044 0.00015 1.510826 6e-06 2566 26 26 0.04 0.08 0.08 0.0898 0.0023 0.0023 0.1192 0.0013 0.0013 5.2396 0.0056 0.0073 48.0 3.9 3.9 0.0 0.081 0.0 0.01154 0.0001 0.00010 0.0043 0.0002 0.0002 0.0996 0.0012 0.0011 10.81 0.51 0.51 4.09 0.2 0.21 391.8 5.5 5.5 15.0 26.0 30.0 -999.0 -999.0 -999.0
TRAPPIST-1c TEP 346.622 -5.04125 18.8 10.3 0.02938 0.64 2457258.587287 0.00027 2.421937 1.8e-05 2566 26 26 0.04 0.08 0.08 0.0898 0.0023 0.0023 0.1192 0.0013 0.0013 5.2396 0.0056 0.0073 48.0 3.9 3.9 0.0 0.083 0.0 0.0158 0.00013 0.00013 0.0041 0.0002 0.0002 0.0979 0.0012 0.0011 10.65 0.42 0.42 4.11 0.17 0.18 334.8 4.7 4.7 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TRAPPIST-1d TEP 346.622 -5.04125 18.8 10.3 0.03426 0.39 2457257.06768 0.00067 4.049219 2.6e-05 2566 26 26 0.04 0.08 0.08 0.0898 0.0023 0.0023 0.1192 0.0013 0.0013 5.2396 0.0056 0.0073 48.0 3.9 3.9 0.0 0.07 0.0 0.02227 0.00019 0.00019 0.0122 0.0001 0.0001 0.0703 0.001 0.0009 6.12 0.19 0.19 3.28 0.12 0.12 282.1 4.0 4.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
TRAPPIST-1e TEP 346.622 -5.04125 18.8 10.3 0.03883 0.55 2457257.82771 0.00041 6.101013 3.5e-05 2566 26 26 0.04 0.08 0.08 0.0898 0.0023 0.0023 0.1192 0.0013 0.0013 5.2396 0.0056 0.0073 48.0 3.9 3.9 0.0 0.085 0.0 0.02925 0.00025 0.00025 0.0022 0.0001 0.0001 0.0821 0.0012 0.0011 8.01 0.24 0.24 3.68 0.13 0.14 246.1 3.5 3.5 9.0 45.0 51.0 -999.0 -999.0 -999.0
TRAPPIST-1f TEP 346.622 -5.04125 18.8 10.3 0.04385 0.76 2457257.07426 0.00085 9.20754 3.2e-05 2566 26 26 0.04 0.08 0.08 0.0898 0.0023 0.0023 0.1192 0.0013 0.0013 5.2396 0.0056 0.0073 48.0 3.9 3.9 0.0 0.063 0.0 0.03849 0.00033 0.00033 0.0033 0.0001 0.0001 0.0932 0.0012 0.0011 9.33 0.24 0.24 3.78 0.1 0.12 214.5 3.0 3.0 21.0 32.0 32.0 -999.0 -999.0 -999.0
